virus_slug,virus_name,family,geo_id,geo_name,geo_type,country,year,cases,region,is_hantavirus,reservoir,lat,lon,source_note,precip_annual_mm,temp_annual_c,precip_winter_mm,precip_summer_mm,precip_other_mm,log_cases,high_risk_year
sin_nombre_us,Sin Nombre (HPS),Hantaviridae,CO,CO,state,USA,1993,9,Southwest,1,,,,,366.324731452766,13.781130881998331,128.2136560084681,91.5811828631915,146.5298925811064,2.302585092994046,1
sin_nombre_us,Sin Nombre (HPS),Hantaviridae,NM,NM,state,USA,1993,5,Southwest,1,,,,,363.306731452766,13.026630881998333,127.15735600846808,90.8266828631915,145.3226925811064,1.791759469228055,1
sin_nombre_us,Sin Nombre (HPS),Hantaviridae,AZ,AZ,state,USA,1993,5,Southwest,1,,,,,363.024731452766,12.95613088199833,127.05865600846809,90.7561828631915,145.2098925811064,1.791759469228055,1
sin_nombre_us,Sin Nombre (HPS),Hantaviridae,CA,CA,state,USA,1993,4,Southwest,1,,,,,364.66273145276597,13.365630881998332,127.63195600846808,91.16568286319149,145.86509258110638,1.6094379124341003,1
sin_nombre_us,Sin Nombre (HPS),Hantaviridae,WA,WA,state,USA,1993,3,Northwest,1,,,,,371.24473145276596,15.011130881998332,129.93565600846807,92.81118286319149,148.49789258110638,1.3862943611198906,1
sin_nombre_us,Sin Nombre (HPS),Hantaviridae,MT,MT,state,USA,1993,3,Northwest,1,,,,,370.72273145276597,14.880630881998332,129.7529560084681,92.68068286319149,148.2890925811064,1.3862943611198906,1
sin_nombre_us,Sin Nombre (HPS),Hantaviridae,UT,UT,state,USA,1993,3,Southwest,1,,,,,366.18673145276597,13.746630881998332,128.16535600846808,91.54668286319149,146.47469258110638,1.3862943611198906,1
sin_nombre_us,Sin Nombre (HPS),Hantaviridae,NV,NV,state,USA,1993,2,Southwest,1,,,,,365.87473145276596,13.668630881998332,128.05615600846807,91.46868286319149,146.3498925811064,1.0986122886681098,1
sin_nombre_us,Sin Nombre (HPS),Hantaviridae,ID,ID,state,USA,1993,2,Northwest,1,,,,,369.036731452766,14.459130881998332,129.16285600846808,92.2591828631915,147.6146925811064,1.0986122886681098,1
sin_nombre_us,Sin Nombre (HPS),Hantaviridae,OR,OR,state,USA,1993,2,Northwest,1,,,,,368.87473145276596,14.418630881998332,129.10615600846808,92.21868286319149,147.54989258110638,1.0986122886681098,1
sin_nombre_us,Sin Nombre (HPS),Hantaviridae,WY,WY,state,USA,1993,2,Northwest,1,,,,,368.442731452766,14.310630881998332,128.9549560084681,92.1106828631915,147.3770925811064,1.0986122886681098,1
sin_nombre_us,Sin Nombre (HPS),Hantaviridae,TX,TX,state,USA,1993,1,Midwest,1,,,,,361.776731452766,12.644130881998333,126.62185600846809,90.4441828631915,144.7106925811064,0.6931471805599453,1
sin_nombre_us,Sin Nombre (HPS),Hantaviridae,NE,NE,state,USA,1993,1,Midwest,1,,,,,367.488731452766,14.072130881998334,128.6210560084681,91.8721828631915,146.9954925811064,0.6931471805599453,1
sin_nombre_us,Sin Nombre (HPS),Hantaviridae,SD,SD,state,USA,1993,1,Midwest,1,,,,,369.17473145276597,14.493630881998332,129.2111560084681,92.29368286319149,147.66989258110638,0.6931471805599453,1
sin_nombre_us,Sin Nombre (HPS),Hantaviridae,ND,ND,state,USA,1993,1,Midwest,1,,,,,371.12473145276596,14.981130881998332,129.89365600846807,92.78118286319149,148.44989258110638,0.6931471805599453,1
